"","IBNR","CL","ODP","EV","DP"
"341",8215,8096.5,8055.36331871403,8026.6934452112,8383.57573898214
"342",7976,7548.5,7524.40270275944,7528.27140177182,7749.44663928039
"343",7510,6960,6889.96827672046,6886.11360703694,7403.02928241848
"344",9203,8300,8222.26994863683,8207.52311744534,8830.73419390387
"345",7807,8147.5,8184.2949681433,8157.84652073751,8628.59037691083
"346",7674,8819.5,8767.71871899238,8760.20276390778,9083.40761854477
"347",8594,9020,9006.14467521121,8998.1037653678,9481.04811250508
"348",7565,8314.5,8277.98154530969,8254.43854041173,8406.99923096431
"349",7251,6863.5,6837.357303954,6806.48150564541,7270.77068595505
"350",8467,7768.5,7747.31693097574,7735.839289092,8098.90410421807
"351",8093,7151,7125.21108397399,7139.69392093269,7422.44535463724
"352",8643,8246.5,8222.39056538049,8227.05655747074,8474.12513744735
"353",7453,6967,6947.92245712989,6925.36918256298,7205.69612595034
"354",8114,8845,8846.59835887732,8838.08553309381,9031.9992251403
"355",9355,8514,8524.00703605318,8484.65313012884,8667.86159960568
"356",9518,9054.5,9003.85019072762,8967.25267516997,9692.35713706018
"357",8322,7333.5,7300.16976129699,7288.03605222773,7459.20106914504
"358",7745,7864.5,7848.53855946231,7823.70238012711,8458.05616792338
"359",9413,8777,8707.3445541107,8716.40302137711,9302.16508350529
"360",7043,7057,7003.48263914299,7006.02980410732,7225.55145973601
"361",7196,7060,7038.62235886846,7026.57561082763,7243.83816867662
"362",8633,8517,8461.17605482191,8481.06285157068,8904.29151536091
"363",7799,7072,7019.61594502745,6993.13566380169,7482.84581537647
"364",7379,7637.5,7620.38905805563,7596.99743290928,7856.9095436847
"365",7921,8077.5,8023.54686102837,8005.0906903983,8146.49798428245
"366",7931,8853.5,8809.12162351141,8780.64263084091,8943.50804318674
"367",9118,8316.5,8279.22149058722,8282.83581010382,8498.53673905233
"368",8964,8565,8530.93679981273,8475.21839834695,9103.52845919765
"369",8286,8680.5,8653.91823979432,8622.90438209929,8649.11058952474
"370",7266,7599,7607.32258996606,7572.43376147131,7751.37864042075
"371",8877,7958.5,7952.10531699711,7941.12444684043,8418.93460794898
"372",9172,8949,8870.58514516453,8867.11356082908,9428.56021185116
"373",7407,8134.5,8098.74152259735,8069.49250585088,8475.49259661938
"374",7675,6477,6460.39099833107,6458.74263118137,6835.82785976826
"375",9389,8321.5,8280.68273394192,8267.91200051356,9066.44710451787
"376",7769,8326,8306.73602581041,8270.69306636496,8546.41710109012
"377",8269,7628.5,7575.12794298813,7562.64684210534,7807.26299308085
"378",7708,8302.5,8308.4670282112,8294.9133728825,8619.5632039385
"379",7825,7876.5,7802.75807967019,7796.94965643722,8122.86705114773
"380",7522,7507,7476.3838977376,7452.24927951773,7668.0023729661
"381",8177,7782,7753.07023913864,7740.1212975048,8147.34163065501
"382",7451,7111.5,7074.88463737223,7090.03009622999,7156.31580134799
"383",8879,7816,7775.43869708813,7735.583408667,8127.79822440297
"384",7017,7235.5,7214.591135178,7185.55658830035,7579.28624307431
"385",8261,7997,7944.68393026802,7948.78384553921,8338.71725066693
"386",9043,7838,7815.98876368544,7825.76908073124,8457.93871006268
"387",7164,6169.5,6138.60579712069,6120.40366182171,6480.16505776192
"388",7365,7477.5,7470.97710079676,7453.07859361164,7647.58762752745
"389",6886,7533,7512.77811636542,7501.91379798828,7754.9088550718
"390",8852,8161.5,8085.87936995279,8062.43600069784,8397.9288960423
"391",8798,8705,8650.05243842901,8666.02840156853,9308.64999491129
"392",6737,6736.5,6699.04256100799,6698.80461825771,6926.72232340849
"393",8236,7820,7793.62397860169,7800.46930463688,8126.80081472419
"394",6309,8208,8190.38849657802,8185.19771841387,8181.54227715542
"395",7019,7815,7782.16843510124,7734.27123417054,8164.69202845198
"396",8236,8013,7950.39021025174,7959.34460664578,8432.66897330753
"397",7990,7128.5,7083.648302387,7071.4373047994,7356.19126008329
"398",7586,7792,7758.92895547742,7770.81945803003,8114.83185389717
"399",7344,7852,7803.9934613887,7810.05768933432,8142.6632417214
"400",6938,7133,7108.58878687599,7137.16869657482,7257.76672900429
"401",8223,7535.5,7459.1833485201,7492.92584628975,8023.21333259523
"402",7804,7260,7209.08114787094,7212.46971594409,7667.52829103925
"403",8834,8080,7999.37934299558,7968.33604167075,8658.1064055606
